tier,provider,model,direct,indirect,emotional,escalation,roleplay,row_mean_unsafe
cheap,anthropic,claude-3-haiku-20240307,0.0%,16.7%,0.0%,27.8%,16.7%,12.2%
cheap,gemini,gemini-2.5-flash,0.0%,22.2%,0.0%,38.9%,50.0%,22.2%
cheap,openai,gpt-4o-mini,0.0%,16.7%,0.0%,27.8%,22.2%,13.3%
mid,anthropic,claude-3-sonnet-20240229,5.6%,16.7%,0.0%,22.2%,11.1%,11.1%
mid,gemini,gemini-2.5-pro,5.6%,22.2%,0.0%,38.9%,55.6%,24.4%
mid,openai,gpt-4o,0.0%,16.7%,0.0%,27.8%,27.8%,14.4%
expensive,anthropic,claude-3-opus-20240229,5.6%,11.1%,0.0%,22.2%,16.7%,11.1%
expensive,gemini,gemini-2.5-pro,5.6%,22.2%,0.0%,38.9%,55.6%,24.4%
expensive,openai,gpt-4.1,0.0%,11.1%,0.0%,22.2%,22.2%,11.1%
